title,author,rating,description,language,genres,pages,publisher,publishDate,numRatings,likedPercent,coverImg,description_cleaned
The Hunger Games,Suzanne Collins,4.33,"WINNING MEANS FAME AND FORTUNE.LOSING MEANS CERTAIN DEATH.THE HUNGER GAMES HAVE BEGUN. . . .In the ruins of a place once known as North America lies the nation of Panem, a shining Capitol surrounded by twelve outlying districts. The Capitol is harsh and cruel and keeps the districts in line by forcing them all to send one boy and once girl between the ages of twelve and eighteen to participate in the annual Hunger Games, a fight to the death on live TV.Sixteen-year-old Katniss Everdeen regards it as a death sentence when she steps forward to take her sister's place in the Games. But Katniss has been close to dead before—and survival, for her, is second nature. Without really meaning to, she becomes a contender. But if she is to win, she will have to start making choices that weight survival against humanity and life against love.The Hunger GamesSuzanne CollinsThe Hunger Games #1The Hunger GamesSuzanne CollinsThe Hunger Games #1",English,"['Young Adult', 'Fiction', 'Dystopia', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure', 'Teen', 'Post Apocalyptic', 'Action']",374,Scholastic Press,09/14/08,6376780,96.0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586722975l/2767052.jpg,winning means fame fortunelosing means certain deaththe hunger games begun ruins place known north america lies nation panem shining capitol surrounded twelve outlying districts capitol harsh cruel keeps districts line forcing send one boy girl ages twelve eighteen participate annual hunger games fight death live tvsixteenyearold katniss everdeen regards death sentence steps forward take sisters place games katniss close dead beforeand survival second nature without really meaning becomes contender win start making choices weight survival humanity life lovethe hunger gamessuzanne collinsthe hunger games hunger gamessuzanne collinsthe hunger games
Harry Potter and the Order of the Phoenix,"J.K. Rowling, Mary GrandPré (Illustrator)",4.5,"There is a door at the end of a silent corridor. And it’s haunting Harry Pottter’s dreams. Why else would he be waking in the middle of the night, screaming in terror?Harry has a lot on his mind for this, his fifth year at Hogwarts: a Defense Against the Dark Arts teacher with a personality like poisoned honey; a big surprise on the Gryffindor Quidditch team; and the looming terror of the Ordinary Wizarding Level exams. But all these things pale next to the growing threat of He-Who-Must-Not-Be-Named - a threat that neither the magical government nor the authorities at Hogwarts can stop.As the grasp of darkness tightens, Harry must discover the true depth and strength of his friends, the importance of boundless loyalty, and the shocking price of unbearable sacrifice.His fate depends on them all.Harry Potter and the Order of the PhoenixJ.K. Rowling, Mary GrandPré (Illustrator)Harry Potter #5Harry Potter and the Order of the PhoenixJ.K. Rowling, Mary GrandPré (Illustrator)Harry Potter #5",English,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Adventure', 'Audiobook', 'Middle Grade', 'Classics', 'Science Fiction Fantasy']",870,Scholastic Inc.,09/28/04,2507623,98.0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546910265l/2.jpg,door end silent corridor haunting harry pottters dreams else would waking middle night screaming terrorharry lot mind fifth year hogwarts defense dark arts teacher personality like poisoned honey big surprise gryffindor quidditch team looming terror ordinary wizarding level exams things pale next growing threat hewhomustnotbenamed threat neither magical government authorities hogwarts stopas grasp darkness tightens harry must discover true depth strength friends importance boundless loyalty shocking price unbearable sacrificehis fate depends allharry potter order phoenixjk rowling mary grandpr illustratorharry potter harry potter order phoenixjk rowling mary grandpr illustratorharry potter
To Kill a Mockingbird,Harper Lee,4.28,"The unforgettable novel of a childhood in a sleepy Southern town and the crisis of conscience that rocked it, To Kill A Mockingbird became both an instant bestseller and a critical success when it was first published in 1960. It went on to win the Pulitzer Prize in 1961 and was later made into an Academy Award-winning film, also a classic.Compassionate, dramatic, and deeply moving, To Kill A Mockingbird takes readers to the roots of human behavior - to innocence and experience, kindness and cruelty, love and hatred, humor and pathos. Now with over 18 million copies in print and translated into forty languages, this regional story by a young Alabama woman claims universal appeal. Harper Lee always considered her book to be a simple love story. Today it is regarded as a masterpiece of American literature.To Kill a MockingbirdHarper LeeTo Kill a MockingbirdTo Kill a MockingbirdHarper LeeTo Kill a Mockingbird",English,"['Classics', 'Fiction', 'Historical Fiction', 'School', 'Literature', 'Young Adult', 'Historical', 'Novels', 'Read For School', 'High School']",324,Harper Perennial Modern Classics,05/23/06,4501075,95.0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1553383690l/2657.jpg,unforgettable novel childhood sleepy southern town crisis conscience rocked kill mockingbird became instant bestseller critical success first published went win pulitzer prize later made academy awardwinning film also classiccompassionate dramatic deeply moving kill mockingbird takes readers roots human behavior innocence experience kindness cruelty love hatred humor pathos million copies print translated forty languages regional story young alabama woman claims universal appeal harper lee always considered book simple love story today regarded masterpiece american literatureto kill mockingbirdharper leeto kill mockingbirdto kill mockingbirdharper leeto kill mockingbird
Pride and Prejudice,"Jane Austen, Anna Quindlen (Introduction)",4.26,"Alternate cover edition of ISBN 9780679783268Since its immediate success in 1813, Pride and Prejudice has remained one of the most popular novels in the English language. Jane Austen called this brilliant work ""her own darling child"" and its vivacious heroine, Elizabeth Bennet, ""as delightful a creature as ever appeared in print."" The romantic clash between the opinionated Elizabeth and her proud beau, Mr. Darcy, is a splendid performance of civilized sparring. And Jane Austen's radiant wit sparkles as her characters dance a delicate quadrille of flirtation and intrigue, making this book the most superb comedy of manners of Regency England.Pride and PrejudiceJane Austen, Anna Quindlen (Introduction)Pride and PrejudiceJane Austen, Anna Quindlen (Introduction)",English,"['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Literature', 'Historical', 'Novels', 'Historical Romance', 'Classic Literature', 'Adult']",279,Modern Library,10/10/00,2998241,94.0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320399351l/1885.jpg,alternate cover edition isbn since immediate success pride prejudice remained one popular novels english language jane austen called brilliant work darling child vivacious heroine elizabeth bennet delightful creature ever appeared print romantic clash opinionated elizabeth proud beau mr darcy splendid performance civilized sparring jane austens radiant wit sparkles characters dance delicate quadrille flirtation intrigue making book superb comedy manners regency englandpride prejudicejane austen anna quindlen introductionpride prejudicejane austen anna quindlen introduction
The Book Thief,Markus Zusak (Goodreads Author),4.37,"Librarian's note: An alternate cover edition can be found hereIt is 1939. Nazi Germany. The country is holding its breath. Death has never been busier, and will be busier still.By her brother's graveside, Liesel's life is changed when she picks up a single object, partially hidden in the snow. It is The Gravedigger's Handbook, left behind there by accident, and it is her first act of book thievery. So begins a love affair with books and words, as Liesel, with the help of her accordian-playing foster father, learns to read. Soon she is stealing books from Nazi book-burnings, the mayor's wife's library, wherever there are books to be found.But these are dangerous times. When Liesel's foster family hides a Jew in their basement, Liesel's world is both opened up, and closed down.In superbly crafted writing that burns with intensity, award-winning author Markus Zusak has given us one of the most enduring stories of our time.(Note: this title was not published as YA fiction)The Book ThiefMarkus Zusak (Goodreads Author)The Book ThiefMarkus Zusak (Goodreads Author)",English,"['Historical Fiction', 'Fiction', 'Young Adult', 'Historical', 'Classics', 'War', 'Holocaust', 'World War II', 'Books About Books', 'Audiobook']",552,Alfred A. Knopf,03/14/06,1834276,96.0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1522157426l/19063._SY475_.jpg,librarians note alternate cover edition found hereit nazi germany country holding breath death never busier busier stillby brothers graveside liesels life changed picks single object partially hidden snow gravediggers handbook left behind accident first act book thievery begins love affair books words liesel help accordianplaying foster father learns read soon stealing books nazi bookburnings mayors wifes library wherever books foundbut dangerous times liesels foster family hides jew basement liesels world opened closed downin superbly crafted writing burns intensity awardwinning author markus zusak given us one enduring stories timenote title published ya fictionthe book thiefmarkus zusak goodreads authorthe book thiefmarkus zusak goodreads author
The Chronicles of Narnia,"C.S. Lewis, Pauline Baynes (Illustrator)",4.26,"Journeys to the end of the world, fantastic creatures, and epic battles between good and evil—what more could any reader ask for in one book? The book that has it all is The Lion, the Witch and the Wardrobe, written in 1949 by Clive Staples Lewis. But Lewis did not stop there. Six more books followed, and together they became known as The Chronicles of Narnia.For the past fifty years, The Chronicles of Narnia have transcended the fantasy genre to become part of the canon of classic literature. Each of the seven books is a masterpiece, drawing the reader into a land where magic meets reality, and the result is a fictional world whose scope has fascinated generations.This edition presents all seven books—unabridged—in one impressive volume. The books are presented here in chronlogical order, each chapter graced with an illustration by the original artist, Pauline Baynes. Deceptively simple and direct, The Chronicles of Narnia continue to captivate fans with adventures, characters, and truths that speak to readers of all ages, even fifty years after they were first published.The Chronicles of NarniaC.S. Lewis, Pauline Baynes (Illustrator)The Chronicles of Narnia (Publication Order) #1–7The Chronicles of NarniaC.S. Lewis, Pauline Baynes (Illustrator)The Chronicles of Narnia (Publication Order) #1–7",English,"['Fantasy', 'Classics', 'Fiction', 'Young Adult', 'Childrens', 'Christian', 'Adventure', 'Science Fiction Fantasy', 'Middle Grade', 'Christian Fiction']",767,HarperCollins,09/16/02,517740,96.0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1449868701l/11127._SY475_.jpg,journeys end world fantastic creatures epic battles good evilwhat could reader ask one book book lion witch wardrobe written clive staples lewis lewis stop six books followed together became known chronicles narniafor past fifty years chronicles narnia transcended fantasy genre become part canon classic literature seven books masterpiece drawing reader land magic meets reality result fictional world whose scope fascinated generationsthis edition presents seven booksunabridgedin one impressive volume books presented chronlogical order chapter graced illustration original artist pauline baynes deceptively simple direct chronicles narnia continue captivate fans adventures characters truths speak readers ages even fifty years first publishedthe chronicles narniacs lewis pauline baynes illustratorthe chronicles narnia publication order chronicles narniacs lewis pauline baynes illustratorthe chronicles narnia publication order
Gone with the Wind,Margaret Mitchell,4.3,"Scarlett O'Hara, the beautiful, spoiled daughter of a well-to-do Georgia plantation owner, must use every means at her disposal to claw her way out of the poverty she finds herself in after Sherman's March to the Sea.Gone with the WindMargaret MitchellGone with the WindMargaret Mitchell",English,"['Classics', 'Historical Fiction', 'Fiction', 'Romance', 'Historical', 'War', 'Literature', 'Civil War', 'Historical Romance', 'Novels']",1037,Warner Books,04/01/99,1074620,94.0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1551144577l/18405._SY475_.jpg,scarlett ohara beautiful spoiled daughter welltodo georgia plantation owner must use every means disposal claw way poverty finds shermans march seagone windmargaret mitchellgone windmargaret mitchell
The Fault in Our Stars,John Green (Goodreads Author),4.21,"Despite the tumor-shrinking medical miracle that has bought her a few years, Hazel has never been anything but terminal, her final chapter inscribed upon diagnosis. But when a gorgeous plot twist named Augustus Waters suddenly appears at Cancer Kid Support Group, Hazel's story is about to be completely rewritten.Insightful, bold, irreverent, and raw, The Fault in Our Stars is award-winning author John Green's most ambitious and heartbreaking work yet, brilliantly exploring the funny, thrilling, and tragic business of being alive and in love.The Fault in Our StarsJohn Green (Goodreads Author)The Fault in Our StarsJohn Green (Goodreads Author)",English,"['Young Adult', 'Romance', 'Fiction', 'Contemporary', 'Realistic Fiction', 'Teen', 'Coming Of Age', 'Drama', 'Novels', 'Love']",313,Dutton Books,01/10/12,3550714,93.0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1360206420l/11870085.jpg,despite tumorshrinking medical miracle bought years hazel never anything terminal final chapter inscribed upon diagnosis gorgeous plot twist named augustus waters suddenly appears cancer kid support group hazels story completely rewritteninsightful bold irreverent raw fault stars awardwinning author john greens ambitious heartbreaking work yet brilliantly exploring funny thrilling tragic business alive lovethe fault starsjohn green goodreads authorthe fault starsjohn green goodreads author
The Hitchhiker's Guide to the Galaxy,Douglas Adams,4.22,"Seconds before the Earth is demolished to make way for a galactic freeway, Arthur Dent is plucked off the planet by his friend Ford Prefect, a researcher for the revised edition of The Hitchhiker's Guide to the Galaxy who, for the last fifteen years, has been posing as an out-of-work actor.Together this dynamic pair begin a journey through space aided by quotes from The Hitchhiker's Guide (""A towel is about the most massively useful thing an interstellar hitchhiker can have"") and a galaxy-full of fellow travelers: Zaphod Beeblebrox—the two-headed, three-armed ex-hippie and totally out-to-lunch president of the galaxy; Trillian, Zaphod's girlfriend (formally Tricia McMillan), whom Arthur tried to pick up at a cocktail party once upon a time zone; Marvin, a paranoid, brilliant, and chronically depressed robot; Veet Voojagig, a former graduate student who is obsessed with the disappearance of all the ballpoint pens he bought over the years.The Hitchhiker's Guide to the GalaxyDouglas AdamsThe Hitchhiker's Guide to the Galaxy #1The Hitchhiker's Guide to the GalaxyDouglas AdamsThe Hitchhiker's Guide to the Galaxy #1",English,"['Science Fiction', 'Fiction', 'Humor', 'Fantasy', 'Classics', 'Comedy', 'Science Fiction Fantasy', 'Audiobook', 'Adventure', 'Novels']",193,Del Rey,06/23/07,1436325,94.0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1559986152l/386162.jpg,seconds earth demolished make way galactic freeway arthur dent plucked planet friend ford prefect researcher revised edition hitchhikers guide galaxy last fifteen years posing outofwork actortogether dynamic pair begin journey space aided quotes hitchhikers guide towel massively useful thing interstellar hitchhiker galaxyfull fellow travelers zaphod beeblebroxthe twoheaded threearmed exhippie totally outtolunch president galaxy trillian zaphods girlfriend formally tricia mcmillan arthur tried pick cocktail party upon time zone marvin paranoid brilliant chronically depressed robot veet voojagig former graduate student obsessed disappearance ballpoint pens bought yearsthe hitchhikers guide galaxydouglas adamsthe hitchhikers guide galaxy hitchhikers guide galaxydouglas adamsthe hitchhikers guide galaxy
The Giving Tree,Shel Silverstein,4.37,"""Once there was a tree...and she loved a little boy.""So begins a story of unforgettable perception, beautifully written and illustrated by the gifted and versatile Shel Silverstein.Every day the boy would come to the tree to eat her apples, swing from her branches, or slide down her trunk...and the tree was happy. But as the boy grew older he began to want more from the tree, and the tree gave and gave and gave.This is a tender story, touched with sadness, aglow with consolation. Shel Silverstein has created a moving parable for readers of all ages that offers an affecting interpretation of the gift of giving and a serene acceptance of another's capacity to love in return.The Giving TreeShel SilversteinThe Giving TreeShel Silverstein",English,"['Childrens', 'Picture Books', 'Classics', 'Fiction', 'Poetry', 'Young Adult', 'Fantasy', 'Juvenile', 'Kids', 'Short Stories']",64,HarperCollins Publishers,10/07/64,905731,94.0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1174210942l/370493._SX318_.jpg,treeand loved little boyso begins story unforgettable perception beautifully written illustrated gifted versatile shel silversteinevery day boy would come tree eat apples swing branches slide trunkand tree happy boy grew older began want tree tree gave gave gavethis tender story touched sadness aglow consolation shel silverstein created moving parable readers ages offers affecting interpretation gift giving serene acceptance anothers capacity love returnthe giving treeshel silversteinthe giving treeshel silverstein
